Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,592.0,8.0,49.0,1439.0,0.1,24.507000000000023,0.0,0.0,285.11423921585083,,,,,,,,,,,,,,,,,,,,,7.622865129028416,7.872278144927432,24.18181906498852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,623.0,9.0,31.0,1470.0,0.1,13.306999999999993,0.0,0.0,288.2937593460083,,,,,,,,,,,,,,,,,,,,,3.7414135323014994,4.472247804873418,13.217437838738293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,657.0,10.0,34.0,1504.0,0.1,14.406999999999993,0.0,0.0,291.97613739967346,,,,,,,,,,,,,,,,,,,,,4.046835095104092,4.746927661583571,14.29798928735188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,713.0,11.0,56.0,1560.0,0.1,31.405000000000012,0.0,0.0,297.59890031814575,,,,,,,,,,,,,,,,,,,,,12.512446373177736,9.365371504403832,30.76580384498818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,773.0,12.0,60.0,1620.0,0.1,28.707000000000026,0.0,0.0,303.863742351532,,,,,,,,,,,,,,,,,,,,,9.354131243906354,8.892829681443896,28.20212817959663,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,800.0,13.0,27.0,1647.0,0.1,10.805999999999994,0.0,0.0,306.73622465133667,,,,,,,,,,,,,,,,,,,,,2.992107793959414,3.643197427904308,10.746695734336035,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,864.0,14.0,64.0,1711.0,0.1,40.306999999999995,0.0,0.0,313.2037236690521,,,,,,,,,,,,,,,,,,,,,14.73209149076548,12.7994801143672,39.442992686972275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,893.0,15.0,29.0,1740.0,0.1,11.806999999999993,0.0,0.0,316.32760787010193,,,,,,,,,,,,,,,,,,,,,3.2255076260977433,3.9761783800824673,11.73692238669417,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,949.0,16.0,56.0,1796.0,0.1,27.80800000000003,0.0,0.0,321.9262466430664,,,,,,,,,,,,,,,,,,,,,8.369523884087595,8.894095634014757,27.394067403230153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,983.0,17.0,34.0,1830.0,0.1,16.306000000000008,0.0,0.0,325.4633674621582,,,,,,,,,,,,,,,,,,,,,4.947411354666804,5.46529137369892,16.170112067965196,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1027.0,18.0,44.0,1874.0,0.1,17.71100000000003,0.0,0.0,330.10205149650574,,,,,,,,,,,,,,,,,,,,,4.522436411086092,5.695121334460875,17.547089429682153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1067.0,19.0,40.0,1914.0,0.1,25.106000000000016,0.0,0.0,334.4691014289856,,,,,,,,,,,,,,,,,,,,,8.900319552226204,8.580362623081289,24.799561541432276,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1104.0,20.0,37.0,1951.0,0.1,21.706000000000017,0.0,0.0,338.32382106781006,,,,,,,,,,,,,,,,,,,,,7.3441664508158135,7.46302755673523,21.477198761644345,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,61.0,1.0,61.0,2012.0,0.1,34.61099999999999,0.0,0.0,518.2380135059357,,,,,,,,,,,,,,,,,,,,,11.235416151418615,11.511648627580561,33.99359280678423,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,147.0,2.0,86.0,2098.0,0.1,40.10900000000003,0.0,0.0,527.1512546539307,,,,,,,,,,,,,,,,,,,,,10.774974116315018,12.456722864094216,39.260834634431134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,193.0,3.0,46.0,2144.0,0.1,24.705000000000016,0.0,0.0,531.814724445343,,,,,,,,,,,,,,,,,,,,,9.313277568767642,7.879433319525646,24.325215337295944,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,251.0,4.0,58.0,2202.0,0.1,40.706999999999994,0.0,0.0,537.6261916160583,,,,,,,,,,,,,,,,,,,,,15.664178358857006,13.539469491930022,39.87819416532278,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
