Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
39,1.0,0.0,0.0,2963.0,19.0,600.0,5676.0,0.1,583.0159999999998,0.0,0.0,991.3348414897919,,,,,,,,,,,,,,,,,,,,,240.76234598454622,128.63625177463152,439.4370270262974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,3136.0,20.0,173.0,5849.0,0.1,164.00800000000004,0.0,0.0,1008.2843401432037,,,,,,,,,,,,,,,,,,,,,75.006550457945,45.9313416221183,151.334384204801,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,206.0,1.0,206.0,6055.0,0.1,194.01100000000005,0.0,0.0,1556.2033421993256,,,,,,,,,,,,,,,,,,,,,87.05160926945324,53.85751189249809,176.43105416777422,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,341.0,2.0,135.0,6190.0,0.1,128.00600000000003,0.0,0.0,1569.3484880924225,,,,,,,,,,,,,,,,,,,,,59.54121050901515,36.467599263057735,120.20823283872764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,589.0,3.0,248.0,6438.0,0.1,239.00800000000004,0.0,0.0,1593.5090339183807,,,,,,,,,,,,,,,,,,,,,107.85327012243253,63.67425022867814,212.68554741892746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,719.0,4.0,130.0,6568.0,0.1,123.00600000000003,0.0,0.0,1606.2955672740936,,,,,,,,,,,,,,,,,,,,,57.24176941917125,35.18924195996707,115.79604627200553,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,885.0,5.0,166.0,6734.0,0.1,156.00900000000004,0.0,0.0,1622.5558540821075,,,,,,,,,,,,,,,,,,,,,70.9797115929953,44.16877595572328,144.51525386804508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1118.0,6.0,233.0,6967.0,0.1,226.00600000000003,0.0,0.0,1645.5096726417542,,,,,,,,,,,,,,,,,,,,,103.1488498833136,60.2104028889042,202.3768693389969,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1247.0,7.0,129.0,7096.0,0.1,121.00700000000003,0.0,0.0,1658.0149500370026,,,,,,,,,,,,,,,,,,,,,55.88430085859528,34.89263991909045,114.02586288915668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,1293.0,8.0,46.0,7142.0,0.1,36.00899999999998,0.0,0.0,1662.8189151287079,,,,,,,,,,,,,,,,,,,,,15.0871226159139,11.95649729824536,35.38572843080114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
